Marketing_ID,Drug_ID,Channel,Budget,ROI
M-2772,D-7200,TV,25480.79,1.23
M-2773,D-7257,Online Ads,42401.5,2.61
M-2774,D-8164,TV,36652.63,8.91
M-2775,D-5944,Billboards,73852.59,8.66
M-2776,D-8294,Online Ads,54922.85,5.74
M-2777,D-7927,Print Media,46043.51,1.47
M-2778,D-4811,Online Ads,3303.16,3.63
M-2779,D-1053,Online Ads,30464.91,8.53
M-2780,D-1036,Radio,70813.87,8.08
M-2781,D-2301,Billboards,14511.26,9.06
M-2782,D-3415,TV,41840.1,2.12
M-2783,D-35,TV,92636.12,8.39
M-2784,D-4533,Print Media,85106.34,8.71
M-2785,D-7580,Radio,24071.85,6.3
M-2786,D-7183,Radio,89568.39,6.74
M-2787,D-8986,Billboards,73937.72,4.67
M-2788,D-6231,Radio,38350.27,5.49
M-2789,D-7147,Radio,75062.83,2.24
M-2790,D-7541,Radio,19834.75,5.35
M-2791,D-6439,TV,43733.2,5.52
M-2792,D-3555,TV,69344.31,8.31
M-2793,D-2982,TV,79159.36,1.96
M-2794,D-9470,Radio,20078.97,8.22
M-2795,D-5710,Online Ads,62960.28,9.65
M-2796,D-4137,Billboards,27234.65,2.31
M-2797,D-636,Print Media,52552.59,9.85
M-2798,D-6689,TV,20546.79,5.68
M-2799,D-8948,Billboards,31019.6,3.28
M-2800,D-2145,Online Ads,24347.17,8.1
M-2801,D-8397,Radio,1243.55,3.44
M-2802,D-3353,Online Ads,31877.5,2.55
M-2803,D-787,Print Media,29793.06,6.63
M-2804,D-4193,Billboards,38337.25,4.11
M-2805,D-1310,Radio,64482.65,7.48
M-2806,D-5807,Radio,37452.25,4.16
M-2807,D-1291,Radio,88353.05,4.0
M-2808,D-7906,Radio,79431.71,3.55
M-2809,D-2327,Billboards,19127.73,4.49
M-2810,D-4346,Radio,41052.89,6.63
M-2811,D-5211,Online Ads,92370.75,7.71
M-2812,D-8753,Print Media,15734.03,8.92
M-2813,D-4081,Online Ads,67370.69,7.05
M-2814,D-8267,Radio,33530.39,7.76
M-2815,D-481,Radio,37452.93,2.93
M-2816,D-2575,Radio,28940.29,6.14
M-2817,D-7963,Online Ads,7575.75,6.19
M-2818,D-9079,Print Media,60565.47,1.3
M-2819,D-4157,Print Media,23540.88,1.99
M-2820,D-9473,Radio,47464.7,9.52
M-2821,D-2439,Billboards,63377.51,9.61
M-2822,D-1436,Billboards,58894.08,7.53
M-2823,D-4197,Radio,78679.44,4.12
M-2824,D-4049,Print Media,80443.69,1.76
M-2825,D-484,Online Ads,87332.62,6.62
M-2826,D-6457,Print Media,72945.78,2.31
M-2827,D-6318,Billboards,50720.8,4.71
M-2828,D-9360,Print Media,88022.77,8.59
M-2829,D-4624,Online Ads,91026.89,7.22
M-2830,D-9303,Billboards,22107.27,7.94
M-2831,D-3296,Radio,72829.99,7.49
M-2832,D-9331,Online Ads,86457.13,5.43
M-2833,D-5138,Radio,31998.32,6.28
M-2834,D-2801,Print Media,41123.08,5.45
M-2835,D-1253,Online Ads,63422.14,3.27
M-2836,D-5208,Radio,70470.53,7.32
M-2837,D-5737,Billboards,86152.8,6.41
M-2838,D-1232,Billboards,66088.97,7.38
M-2839,D-8393,Print Media,42141.92,8.65
M-2840,D-896,Radio,11781.85,9.06
M-2841,D-2092,Online Ads,58175.64,6.08
M-2842,D-9306,Print Media,82332.01,9.64
M-2843,D-6142,TV,77786.35,4.41
M-2844,D-7009,Print Media,17020.65,6.76
M-2845,D-6929,Radio,4973.34,1.92
M-2846,D-2318,TV,9907.1,8.92
M-2847,D-8641,TV,43044.36,6.22
M-2848,D-3101,TV,4241.18,2.05
M-2849,D-7988,Radio,28911.87,7.12
M-2850,D-4314,TV,59212.1,9.87
M-2851,D-568,Online Ads,42925.83,2.96
M-2852,D-874,Print Media,97173.78,6.13
M-2853,D-6875,Billboards,55992.01,8.24
M-2854,D-4963,TV,75877.56,3.85
M-2855,D-1347,Print Media,21583.08,2.65
M-2856,D-7480,Print Media,95656.51,2.32
M-2857,D-8224,Radio,20651.11,7.4
M-2858,D-9947,TV,4085.19,8.95
M-2859,D-340,Radio,7591.94,1.04
M-2860,D-6429,Billboards,21208.63,1.79
M-2861,D-6669,Print Media,43417.1,2.52
M-2862,D-8404,Radio,24854.58,1.45
M-2863,D-709,TV,92269.1,1.18
M-2864,D-2574,Print Media,98429.17,5.74
M-2865,D-4625,TV,89207.34,4.39
M-2866,D-2853,Billboards,60783.42,2.79
M-2867,D-4354,Radio,83852.89,4.12
M-2868,D-2722,TV,85664.57,2.99
M-2869,D-8947,Radio,26161.03,9.4
M-2870,D-746,Online Ads,72366.12,9.77
M-2871,D-3947,Print Media,27416.71,4.98
M-2872,D-8675,TV,84789.27,3.08
M-2873,D-6530,Print Media,29930.91,6.25
M-2874,D-1559,Radio,38511.23,8.63
M-2875,D-7136,Print Media,78399.2,1.04
M-2876,D-7535,TV,32659.02,1.71
M-2877,D-9493,TV,62822.49,3.61
M-2878,D-7774,Print Media,45483.26,3.42
M-2879,D-873,Online Ads,59946.09,1.44
M-2880,D-354,Billboards,76105.11,2.62
M-2881,D-1848,Radio,57073.52,7.43
M-2882,D-6900,Billboards,49825.08,2.32
M-2883,D-250,Billboards,76191.88,6.82
M-2884,D-6945,Radio,44497.94,9.74
M-2885,D-8727,TV,69048.59,9.98
M-2886,D-5250,TV,34827.19,6.93
M-2887,D-5116,Billboards,35925.86,4.8
M-2888,D-8825,Print Media,34254.01,2.23
M-2889,D-6681,Radio,84839.29,9.94
M-2890,D-7506,Billboards,86364.2,7.72
M-2891,D-1605,Radio,20130.22,9.2
M-2892,D-3054,Online Ads,2475.5,8.73
M-2893,D-6486,Print Media,71377.14,8.28
M-2894,D-8056,Radio,60457.27,9.67
M-2895,D-9251,TV,59715.3,5.32
M-2896,D-2741,TV,34390.91,5.76
M-2897,D-8169,TV,24187.58,9.52
M-2898,D-179,Radio,77062.43,3.28
M-2899,D-4651,TV,92275.4,4.55
M-2900,D-3740,Radio,93010.93,2.71
M-2901,D-8115,Billboards,14078.19,1.17
M-2902,D-1654,TV,9969.42,2.89
M-2903,D-6513,Online Ads,63483.89,9.11
M-2904,D-2738,TV,82288.01,9.57
M-2905,D-3927,Billboards,55074.72,5.22
M-2906,D-4637,Online Ads,91478.19,5.58
M-2907,D-7359,Radio,58098.68,8.47
M-2908,D-3882,Radio,87396.34,5.2
M-2909,D-1142,Print Media,76171.76,5.38
M-2910,D-665,TV,81567.51,7.79
M-2911,D-1545,Radio,39862.04,1.83
M-2912,D-3912,TV,35046.94,5.24
M-2913,D-8688,Print Media,61245.2,7.14
M-2914,D-4040,Print Media,30345.99,3.07
M-2915,D-5964,TV,12756.1,1.55
M-2916,D-2453,Billboards,27252.53,5.9
M-2917,D-4755,Radio,10526.89,8.04
M-2918,D-2734,Billboards,61013.43,7.19
M-2919,D-447,Radio,55823.35,9.93
M-2920,D-9948,Online Ads,91613.71,3.37
M-2921,D-8331,Billboards,86782.6,2.02
M-2922,D-6881,Radio,25853.56,4.74
M-2923,D-2346,Print Media,84607.81,5.79
M-2924,D-2309,Online Ads,42919.38,8.89
M-2925,D-6161,Radio,46820.7,6.16
M-2926,D-7858,Radio,88271.9,6.39
M-2927,D-1050,TV,79441.64,5.93
M-2928,D-6193,Billboards,80551.41,7.66
M-2929,D-7394,Billboards,77354.4,4.25
M-2930,D-5155,Billboards,11360.51,6.38
M-2931,D-9712,TV,66008.12,3.31
M-2932,D-622,Radio,91316.41,7.82
M-2933,D-3593,Billboards,77107.11,4.05
M-2934,D-6203,Print Media,15401.82,6.26
M-2935,D-8526,TV,22275.13,3.96
M-2936,D-8030,Billboards,21035.59,8.59
M-2937,D-8457,Print Media,72190.61,6.35
M-2938,D-5137,Billboards,68841.28,5.45
M-2939,D-6367,Billboards,19097.49,1.59
M-2940,D-489,Radio,27138.08,9.73
M-2941,D-9432,Radio,60804.49,8.01
M-2942,D-5815,Billboards,6336.06,2.05
M-2943,D-1491,Online Ads,72194.88,8.38
M-2944,D-9252,Radio,63796.17,5.33
M-2945,D-8150,TV,11297.35,7.55
M-2946,D-3440,Radio,69605.12,3.23
M-2947,D-8859,Online Ads,91793.8,1.33
M-2948,D-2989,Radio,1828.25,3.09
M-2949,D-2336,Radio,65150.06,5.76
M-2950,D-5838,Online Ads,16644.43,3.03
M-2951,D-9574,Print Media,81741.58,4.28
M-2952,D-8374,TV,19497.95,7.49
M-2953,D-4956,Print Media,77620.7,8.81
M-2954,D-3432,Radio,15286.77,6.18
M-2955,D-6629,Online Ads,1354.34,3.08
M-2956,D-3173,Print Media,16962.0,7.21
M-2957,D-2540,Billboards,60527.48,5.82
M-2958,D-8879,Print Media,1194.41,7.22
M-2959,D-6392,Online Ads,82771.45,9.93
M-2960,D-9663,Print Media,50950.0,8.63
M-2961,D-9359,Billboards,11777.35,5.18
M-2962,D-3298,Print Media,74155.95,8.72
M-2963,D-9614,TV,70640.2,2.03
M-2964,D-4816,Print Media,30227.77,8.23
M-2965,D-4774,Billboards,97042.87,4.66
M-2966,D-381,Radio,32636.09,4.77
M-2967,D-1979,Radio,14768.51,1.01
M-2968,D-2685,Print Media,24008.6,4.41
M-2969,D-7543,Billboards,7425.5,7.3
M-2970,D-9533,Print Media,59605.52,9.78
M-2971,D-2647,Online Ads,94178.82,9.98
M-2972,D-248,TV,21908.06,3.34
M-2973,D-5743,Online Ads,7623.38,3.62
M-2974,D-4924,Billboards,19572.45,4.95
M-2975,D-5318,Print Media,16415.36,6.64
M-2976,D-858,TV,74459.72,8.55
M-2977,D-2847,Billboards,1586.86,6.21
M-2978,D-3079,Print Media,65841.09,5.7
M-2979,D-7150,Radio,51595.33,1.54
M-2980,D-1790,TV,98369.38,4.97
M-2981,D-4422,Print Media,26018.4,2.34
M-2982,D-7816,Billboards,88958.95,8.96
M-2983,D-7711,Radio,46560.88,3.75
M-2984,D-3318,Billboards,63611.13,3.43
M-2985,D-5366,Radio,92056.5,3.03
M-2986,D-4752,Print Media,94415.47,5.42
M-2987,D-5350,Billboards,48053.87,9.69
M-2988,D-7547,Print Media,74852.19,5.49
M-2989,D-1482,Online Ads,46514.14,9.91
M-2990,D-5236,TV,26941.6,4.06
M-2991,D-4025,Billboards,8506.31,5.81
M-2992,D-9838,Billboards,70903.89,9.77
M-2993,D-9642,TV,67760.49,7.24
M-2994,D-5450,Print Media,80990.15,9.05
M-2995,D-5161,TV,72214.13,1.19
M-2996,D-8266,Print Media,73876.05,9.8
M-2997,D-2328,Print Media,11981.16,4.57
M-2998,D-1769,Radio,2709.51,4.56
M-2999,D-2432,Print Media,19458.69,9.56
M-3000,D-9469,Online Ads,14654.57,3.96
M-3001,D-927,TV,28050.82,4.74
M-3002,D-6722,TV,25102.32,5.46
M-3003,D-3868,Print Media,32588.81,9.59
M-3004,D-199,Print Media,3498.19,6.52
M-3005,D-7755,TV,88703.75,9.92
M-3006,D-2555,Billboards,84378.9,5.22
M-3007,D-2097,Radio,20792.2,9.96
M-3008,D-9047,Online Ads,79839.93,4.45
M-3009,D-105,TV,87985.84,9.5
M-3010,D-5138,Radio,46911.48,2.48
M-3011,D-6213,Online Ads,89736.61,9.94
M-3012,D-9284,Print Media,13484.24,9.7
M-3013,D-2382,Radio,36360.79,4.4
M-3014,D-2733,Print Media,34086.4,5.92
M-3015,D-3909,TV,15427.08,4.45
M-3016,D-1913,Online Ads,40043.52,2.2
M-3017,D-623,Print Media,20864.27,9.1
M-3018,D-3165,TV,86009.85,8.3
M-3019,D-6030,Online Ads,96470.44,4.99
M-3020,D-4726,Radio,36000.51,7.92
M-3021,D-5712,Billboards,56225.05,8.62
M-3022,D-5624,TV,72490.43,4.77
M-3023,D-1873,Online Ads,19270.17,5.36
M-3024,D-2098,TV,83753.06,3.26
M-3025,D-3088,Print Media,45848.34,7.35
M-3026,D-594,Online Ads,6367.72,8.51
M-3027,D-273,Radio,66788.56,9.11
M-3028,D-6639,Billboards,57790.68,9.08
M-3029,D-6084,Billboards,29423.39,2.01
M-3030,D-1967,Print Media,35207.62,8.42
M-3031,D-1776,TV,57788.76,7.7
M-3032,D-8429,Online Ads,75787.59,7.05
M-3033,D-1453,TV,89365.37,8.94
M-3034,D-1380,Online Ads,19333.57,2.53
M-3035,D-341,TV,45715.01,5.85
M-3036,D-3309,TV,27086.22,4.06
M-3037,D-3530,Radio,63082.18,3.48
M-3038,D-8541,Radio,53267.86,3.41
M-3039,D-9770,Print Media,2567.41,8.1
M-3040,D-8709,Billboards,67195.09,3.77
M-3041,D-2820,TV,97893.9,4.67
M-3042,D-8825,Print Media,60728.45,2.59
M-3043,D-2742,Radio,31167.65,8.24
M-3044,D-2889,Print Media,29233.6,2.09
M-3045,D-3277,Billboards,35639.52,1.42
M-3046,D-7219,Radio,38401.62,8.32
M-3047,D-5340,TV,38021.51,1.87
M-3048,D-3315,Online Ads,10153.79,7.37
M-3049,D-3558,Online Ads,86676.6,2.6
M-3050,D-4866,Billboards,93309.38,1.64
M-3051,D-3964,Radio,52008.22,8.26
M-3052,D-1441,Billboards,29058.34,7.05
M-3053,D-3154,TV,22367.93,8.25
M-3054,D-2768,Print Media,80435.39,1.19
M-3055,D-1179,Billboards,6707.83,4.39
M-3056,D-6755,Online Ads,79531.54,7.98
M-3057,D-2157,Radio,57922.26,4.04
M-3058,D-9715,Billboards,27939.26,2.32
M-3059,D-3943,Print Media,22212.91,1.49
M-3060,D-6461,Radio,32388.09,9.44
M-3061,D-3067,Print Media,27562.76,6.08
M-3062,D-4389,Print Media,17891.49,7.59
M-3063,D-5163,Online Ads,98527.62,4.97
M-3064,D-8319,TV,55292.29,1.63
M-3065,D-848,TV,6272.24,2.48
M-3066,D-1790,Print Media,95313.24,7.85
M-3067,D-296,TV,7607.21,3.81
M-3068,D-2274,Billboards,62689.37,7.88
M-3069,D-7576,Billboards,28250.37,5.15
M-3070,D-1166,Online Ads,28488.43,2.03
M-3071,D-4565,Radio,83720.93,4.76
M-3072,D-1233,Billboards,15792.69,7.89
M-3073,D-7028,Online Ads,88564.43,7.52
M-3074,D-4102,Online Ads,76900.47,7.23
M-3075,D-7455,Print Media,17454.96,9.95
M-3076,D-5842,TV,38146.99,2.81
M-3077,D-1414,Billboards,26363.16,6.34
M-3078,D-6306,Radio,85328.98,3.97
M-3079,D-1729,Print Media,55561.02,3.89
M-3080,D-8295,Radio,64610.23,6.55
M-3081,D-2931,Online Ads,82300.1,8.03
M-3082,D-7318,Print Media,2298.43,2.68
M-3083,D-9065,Radio,62956.83,9.02
M-3084,D-5236,TV,56695.37,1.98
M-3085,D-8093,Print Media,32888.39,7.76
M-3086,D-3487,Online Ads,66435.65,2.96
M-3087,D-2058,Online Ads,82961.23,8.35
M-3088,D-5010,TV,23092.58,5.96
M-3089,D-8625,Radio,92074.54,9.12
M-3090,D-8935,TV,78025.75,8.48
M-3091,D-5960,TV,35062.88,6.8
M-3092,D-9439,Online Ads,80432.65,3.49
M-3093,D-9153,Billboards,90974.62,3.53
M-3094,D-4586,Print Media,32040.41,2.06
M-3095,D-5621,Print Media,99565.31,8.62
M-3096,D-3404,Billboards,15664.8,6.8
M-3097,D-8770,Radio,17822.58,3.18
M-3098,D-1922,Radio,89050.4,6.72
M-3099,D-2370,Radio,30631.61,8.4
M-3100,D-481,Billboards,61531.96,1.14
M-3101,D-5283,Online Ads,79050.33,6.52
M-3102,D-8446,Billboards,42755.98,7.6
M-3103,D-237,Online Ads,36203.61,6.5
M-3104,D-8363,Online Ads,98630.04,1.93
M-3105,D-437,Radio,72323.54,6.29
M-3106,D-6404,Radio,43773.42,5.3
M-3107,D-4881,Print Media,79001.46,1.35
M-3108,D-944,TV,34080.15,9.39
M-3109,D-853,Online Ads,35737.13,6.54
M-3110,D-2285,Radio,99445.93,9.23
M-3111,D-747,Print Media,81230.31,6.69
M-3112,D-9240,Print Media,24652.68,1.84
M-3113,D-6331,Print Media,97710.27,6.65
M-3114,D-204,Billboards,6517.71,9.45
M-3115,D-3461,Print Media,91255.64,5.36
M-3116,D-1468,Radio,67043.4,5.72
M-3117,D-588,TV,87243.07,1.24
M-3118,D-9179,Print Media,1512.77,8.45
M-3119,D-9428,Print Media,29232.41,4.7
M-3120,D-8626,Radio,18452.55,9.4
M-3121,D-1095,Radio,57202.12,2.52
M-3122,D-192,Radio,53629.53,4.08
M-3123,D-160,Online Ads,73211.18,2.49
M-3124,D-7030,Print Media,35023.89,2.67
M-3125,D-3646,Radio,46351.64,6.38
M-3126,D-4670,Print Media,44730.11,8.95
M-3127,D-5518,Print Media,51730.12,4.98
M-3128,D-8578,Billboards,45493.31,3.13
M-3129,D-817,Print Media,18703.99,7.04
M-3130,D-4161,Radio,75690.59,5.01
M-3131,D-4984,Radio,29023.31,1.47
M-3132,D-2775,Billboards,54045.26,4.23
M-3133,D-5607,Online Ads,29401.87,4.82
M-3134,D-8801,Radio,43952.46,3.73
M-3135,D-2767,Radio,57037.79,9.33
M-3136,D-3142,Billboards,40115.35,7.68
M-3137,D-2393,Billboards,49237.11,5.33
M-3138,D-5392,Print Media,79769.98,5.07
M-3139,D-6067,TV,3272.11,4.54
M-3140,D-5843,Radio,66002.13,8.4
M-3141,D-6239,Print Media,74022.39,1.67
M-3142,D-2612,Billboards,79862.12,1.96
M-3143,D-4614,Billboards,6728.14,5.4
M-3144,D-5058,TV,66794.43,3.04
M-3145,D-416,Online Ads,11550.63,2.4
M-3146,D-7189,Print Media,69938.12,8.29
M-3147,D-5445,Online Ads,5533.89,7.45
M-3148,D-8328,Online Ads,92842.74,4.72
M-3149,D-4778,Radio,91559.82,4.36
M-3150,D-4965,Print Media,88292.33,5.58
M-3151,D-8161,Billboards,29599.05,9.9
M-3152,D-8677,Online Ads,49738.5,2.19
M-3153,D-2926,TV,99774.42,8.91
M-3154,D-1627,Online Ads,83630.2,9.73
M-3155,D-3650,Radio,66037.93,5.78
M-3156,D-8155,TV,67609.33,3.63
M-3157,D-805,Billboards,22792.9,3.32
M-3158,D-3760,Print Media,81097.6,6.55
M-3159,D-9875,TV,62932.43,5.07
M-3160,D-2314,Radio,72792.4,4.27
M-3161,D-430,TV,95785.9,4.25
M-3162,D-2818,Print Media,75112.45,8.22
M-3163,D-4518,Radio,30174.1,4.28
M-3164,D-9205,Print Media,97800.81,9.01
M-3165,D-3044,Online Ads,33427.89,1.07
M-3166,D-1400,Print Media,76662.76,6.31
M-3167,D-2017,Print Media,6403.34,2.78
M-3168,D-1722,Print Media,50611.78,2.61
M-3169,D-6793,Billboards,32617.25,8.95
M-3170,D-1006,Print Media,93737.99,8.76
M-3171,D-467,Online Ads,42448.68,4.64
M-3172,D-4998,Billboards,33841.71,7.46
M-3173,D-7698,TV,25737.83,1.95
M-3174,D-473,Print Media,18300.18,5.45
M-3175,D-4399,Online Ads,37295.03,9.26
M-3176,D-9263,Billboards,95968.19,2.83
M-3177,D-6249,Billboards,49654.48,7.6
M-3178,D-3779,Radio,68897.84,5.98
M-3179,D-6880,Billboards,7867.98,1.84
M-3180,D-9165,Radio,34939.34,2.07
M-3181,D-5079,Billboards,40103.88,2.11
M-3182,D-1534,Online Ads,20465.12,4.19
M-3183,D-5676,Radio,88709.35,2.4
M-3184,D-1086,Online Ads,67211.14,1.73
M-3185,D-9708,TV,3041.86,2.86
M-3186,D-1416,Radio,73763.11,4.39
M-3187,D-5158,Online Ads,20513.74,7.95
M-3188,D-146,Online Ads,25600.23,6.21
M-3189,D-4959,Radio,73591.07,4.2
M-3190,D-6399,TV,79509.17,1.58
M-3191,D-9114,Print Media,3054.68,6.54
M-3192,D-9107,Radio,23413.77,6.15
M-3193,D-3565,TV,76102.21,2.46
M-3194,D-8099,Billboards,48625.6,1.6
M-3195,D-6364,Online Ads,27721.8,8.69
M-3196,D-5240,TV,92555.61,8.23
M-3197,D-3815,Print Media,10662.63,9.49
M-3198,D-4935,Online Ads,56127.33,5.16
M-3199,D-5068,TV,2750.37,5.57
M-3200,D-7262,Print Media,4311.38,2.35
M-3201,D-3300,Billboards,92547.76,4.63
M-3202,D-6241,Online Ads,3796.49,9.18
M-3203,D-3915,Print Media,20494.62,6.22
M-3204,D-9864,TV,78930.77,5.84
M-3205,D-1333,Online Ads,40116.07,2.86
M-3206,D-8283,Print Media,60570.32,6.0
M-3207,D-853,TV,96011.56,9.29
M-3208,D-5327,Radio,14407.94,9.55
M-3209,D-3423,Online Ads,64904.54,8.67
M-3210,D-7575,Print Media,48769.13,5.1
M-3211,D-4477,Radio,55828.99,2.07
M-3212,D-7624,Online Ads,85638.2,9.58
M-3213,D-3633,Online Ads,82726.22,3.79
M-3214,D-8656,Billboards,70345.32,4.2
M-3215,D-9754,Online Ads,4670.14,7.79
M-3216,D-8100,TV,51395.02,5.71
M-3217,D-8214,Online Ads,68309.28,4.85
M-3218,D-1239,TV,5165.72,5.63
M-3219,D-6649,TV,93249.25,5.22
M-3220,D-5994,Online Ads,58572.49,1.22
M-3221,D-7192,Radio,75916.25,1.92
M-3222,D-2474,Billboards,19149.81,5.38
M-3223,D-7211,Print Media,25050.62,4.8
M-3224,D-3766,Online Ads,94155.76,8.85
M-3225,D-1479,Online Ads,24911.23,2.06
M-3226,D-2029,Billboards,41284.17,7.9
M-3227,D-4985,Radio,57856.88,1.65
M-3228,D-9670,Radio,96030.56,7.24
M-3229,D-3639,Radio,37932.21,3.4
M-3230,D-7027,TV,76180.23,9.57
M-3231,D-4898,TV,73251.21,6.74
M-3232,D-8441,TV,45109.62,1.41
M-3233,D-7558,Radio,81518.56,6.27
M-3234,D-7272,Online Ads,61144.02,4.72
M-3235,D-9336,Radio,79591.17,9.36
M-3236,D-4521,Billboards,40011.3,1.87
M-3237,D-6832,Billboards,58964.33,2.83
M-3238,D-7288,Online Ads,19858.23,3.89
M-3239,D-3933,Billboards,25958.61,7.75
M-3240,D-6030,TV,7567.91,7.86
M-3241,D-6404,Billboards,13666.19,8.4
M-3242,D-1586,Online Ads,42818.48,1.9
M-3243,D-2492,Billboards,25306.06,4.38
M-3244,D-8547,Print Media,17465.16,7.33
M-3245,D-5255,Billboards,18612.73,2.6
M-3246,D-8720,Radio,56751.16,1.09
M-3247,D-1650,Radio,40865.62,8.34
M-3248,D-2038,Radio,45275.86,5.2
M-3249,D-3424,Online Ads,19962.46,9.87
M-3250,D-8178,Print Media,72880.87,1.68
M-3251,D-4076,Print Media,53221.79,2.5
M-3252,D-4106,Billboards,49459.72,1.18
M-3253,D-1627,Billboards,68315.41,6.63
M-3254,D-9184,Online Ads,12304.15,5.6
M-3255,D-1209,Radio,50021.86,4.14
M-3256,D-6214,TV,76839.41,8.82
M-3257,D-2536,Billboards,14953.87,8.73
M-3258,D-5653,TV,30576.11,9.93
M-3259,D-548,Billboards,96436.53,2.83
M-3260,D-4319,TV,1583.62,7.16
M-3261,D-3457,TV,21174.87,7.46
M-3262,D-549,Billboards,98097.35,7.59
M-3263,D-9608,TV,12485.08,9.0
M-3264,D-183,Radio,9109.74,5.63
M-3265,D-9416,Billboards,79396.74,2.17
M-3266,D-9846,Radio,18238.66,2.2
M-3267,D-7481,TV,56272.57,8.78
M-3268,D-5074,Online Ads,31977.6,1.8
M-3269,D-8648,Billboards,98907.73,2.4
M-3270,D-3708,Online Ads,13790.31,6.89
M-3271,D-3527,Billboards,69779.64,7.08
M-3272,D-6759,Online Ads,81220.14,1.27
M-3273,D-6554,Online Ads,89590.34,5.74
M-3274,D-1725,Print Media,14525.5,9.44
M-3275,D-2901,Radio,43023.63,9.46
M-3276,D-6225,TV,80006.61,8.98
M-3277,D-6099,Print Media,49545.58,2.99
M-3278,D-1738,Radio,98704.29,3.77
M-3279,D-6206,Billboards,77574.97,8.32
M-3280,D-5878,Online Ads,38010.51,5.38
M-3281,D-5160,Online Ads,87807.98,4.8
M-3282,D-3304,Radio,14778.5,6.54
M-3283,D-2100,Print Media,44648.14,4.77
M-3284,D-897,Billboards,24522.43,9.13
M-3285,D-2940,Print Media,37718.94,6.25
M-3286,D-1086,Online Ads,81165.75,8.7
M-3287,D-6399,Billboards,40109.19,5.23
M-3288,D-9578,TV,15171.48,5.71
M-3289,D-4068,Print Media,50546.86,4.36
M-3290,D-4256,Radio,91434.6,5.71
M-3291,D-5589,TV,13079.85,8.41
M-3292,D-5815,Radio,92750.25,3.95
M-3293,D-6520,TV,7249.5,8.82
M-3294,D-4279,Billboards,75746.77,9.27
M-3295,D-8464,Online Ads,95619.77,4.86
M-3296,D-6813,Radio,9755.53,3.81
M-3297,D-7779,TV,46688.7,6.73
M-3298,D-7206,TV,87902.49,6.03
M-3299,D-2135,Billboards,51228.17,6.74
M-3300,D-4049,TV,67831.01,6.59
M-3301,D-8423,Radio,11680.65,3.46
M-3302,D-6951,Radio,37854.0,6.02
M-3303,D-6638,Online Ads,92567.97,6.17
M-3304,D-2313,TV,34446.79,4.01
M-3305,D-6014,TV,8610.68,1.37
M-3306,D-4631,Billboards,81371.08,9.99
M-3307,D-5798,Online Ads,40762.02,4.48
M-3308,D-2517,TV,10990.12,1.51
M-3309,D-2694,Print Media,1787.35,9.72
M-3310,D-9390,Billboards,60907.78,9.9
M-3311,D-8035,TV,9269.79,1.41
M-3312,D-732,Online Ads,49960.14,1.21
M-3313,D-1194,Online Ads,34157.97,7.33
M-3314,D-2683,Print Media,45747.46,2.78
M-3315,D-9163,Print Media,57262.31,3.07
M-3316,D-6082,Print Media,4655.61,6.46
M-3317,D-5261,Billboards,59058.69,9.36
M-3318,D-8831,TV,36595.48,1.77
M-3319,D-9042,Radio,31315.98,9.98
M-3320,D-3164,Print Media,68674.9,8.55
M-3321,D-8759,Radio,81595.57,9.39
M-3322,D-6527,Print Media,30140.42,4.08
M-3323,D-1654,Print Media,82345.9,4.63
M-3324,D-9920,Print Media,55630.3,6.32
M-3325,D-2201,TV,97967.26,1.64
M-3326,D-7442,Print Media,62645.2,6.01
M-3327,D-6470,Online Ads,1745.72,8.52
M-3328,D-3056,Print Media,59697.11,8.63
M-3329,D-3319,TV,19320.46,6.86
M-3330,D-3783,Radio,2644.54,7.52
M-3331,D-7887,Online Ads,8691.09,6.31
M-3332,D-9777,Print Media,42577.71,9.64
M-3333,D-9391,Radio,94487.48,3.99
M-3334,D-5700,Online Ads,86822.83,5.56
M-3335,D-836,Print Media,72806.17,1.56
M-3336,D-8679,Print Media,50209.51,3.21
M-3337,D-8845,Online Ads,25235.0,1.38
M-3338,D-9961,Print Media,90085.27,3.97
M-3339,D-8755,TV,30100.08,9.36
M-3340,D-2159,Radio,79760.45,7.19
M-3341,D-3669,TV,56578.8,8.71
M-3342,D-5240,Online Ads,85159.73,5.25
M-3343,D-2287,TV,38991.22,3.68
M-3344,D-6593,Radio,26944.92,2.96
M-3345,D-9039,Online Ads,78758.03,4.42
M-3346,D-189,Print Media,72733.34,1.11
M-3347,D-4124,Print Media,73853.71,4.98
M-3348,D-725,Billboards,50817.86,9.46
M-3349,D-1428,Online Ads,66207.53,4.98
M-3350,D-9729,TV,75417.96,9.94
M-3351,D-3389,Print Media,80615.67,8.09
M-3352,D-8426,Online Ads,25501.43,3.94
M-3353,D-7607,TV,78593.55,2.25
M-3354,D-9406,Online Ads,66565.03,7.3
M-3355,D-4843,Print Media,63822.05,5.73
M-3356,D-6362,Online Ads,77588.97,7.29
M-3357,D-7047,Online Ads,70911.14,1.14
M-3358,D-2827,Print Media,87526.9,3.34
M-3359,D-9110,Online Ads,55663.37,3.14
M-3360,D-5230,Print Media,49841.05,7.19
M-3361,D-9228,Online Ads,46853.95,5.38
M-3362,D-8936,Online Ads,2100.57,8.74
M-3363,D-3648,Print Media,91278.74,1.69
M-3364,D-4752,Print Media,74804.93,5.91
M-3365,D-742,Billboards,71115.44,2.04
